State,County,Community Name (Number), Policies in Force , Total Coverage , Total Written Premium + FPF , Total Annual Payment 
PENNSYLVANIA,BRADFORD COUNTY,"WYALUSING, TOWNSHIP OF (421126)", 18 ," $5,150,000 "," $30,392 "," $37,734 "
PENNSYLVANIA,BRADFORD COUNTY,"WYSOX, TOWNSHIP OF (420977)", 14 ," $3,784,000 "," $19,376 "," $24,670 "
PENNSYLVANIA,BUCKS COUNTY,"BEDMINSTER, TOWNSHIP OF (421049)", 15 ," $4,473,000 "," $27,137 "," $32,496 "
PENNSYLVANIA,BUCKS COUNTY,"BENSALEM, TOWNSHIP OF (420181)", 210 ," $56,170,000 "," $245,131 "," $303,268 "
PENNSYLVANIA,BUCKS COUNTY,BRIDGETON TOWNSHIP OF (420182), 63 ," $15,058,000 "," $144,162 "," $174,933 "
PENNSYLVANIA,BUCKS COUNTY,BRISTOL BOROUGH OF (420183), 167 ," $54,224,000 "," $300,806 "," $369,687 "
PENNSYLVANIA,BUCKS COUNTY,"BRISTOL, TOWNSHIP OF (420984)", 461 ," $120,894,000 "," $516,817 "," $628,727 "
PENNSYLVANIA,BUCKS COUNTY,"BUCKINGHAM, TOWNSHIP OF (420985)", 58 ," $19,258,000 "," $48,241 "," $59,908 "
PENNSYLVANIA,BUCKS COUNTY,"CHALFONT, BOROUGHS OF (420184)", 30 ," $9,720,000 "," $36,878 "," $44,912 "
PENNSYLVANIA,BUCKS COUNTY,"DOYLESTOWN, BOROUGH OF (421410)", 30 ," $10,540,000 "," $22,633 "," $30,352 "
PENNSYLVANIA,BUCKS COUNTY,"DOYLESTOWN, TOWNSHIP OF (420185)", 50 ," $13,750,000 "," $44,962 "," $55,458 "
PENNSYLVANIA,BUCKS COUNTY,DURHAM TOWNSHIP OF (420186), 21 ," $5,313,000 "," $43,487 "," $53,236 "
PENNSYLVANIA,BUCKS COUNTY,"EAST ROCKHILL, TOWNSHIP OF (420187)", 8 ," $2,583,000 "," $9,528 "," $11,375 "
PENNSYLVANIA,BUCKS COUNTY,"FALLS, TOWNSHIP OF (420188)", 71 ," $20,038,000 "," $77,008 "," $97,443 "
PENNSYLVANIA,BUCKS COUNTY,"HAYCOCK, TOWNSHIP OF (421127)", 9 ," $2,937,000 "," $14,465 "," $18,343 "
PENNSYLVANIA,BUCKS COUNTY,"HILLTOWN, TOWNSHIP OF (420189)", 17 ," $4,709,000 "," $9,313 "," $11,496 "
PENNSYLVANIA,BUCKS COUNTY,HULMEVILLE BOROUGH OF (420190), 30 ," $7,906,000 "," $25,041 "," $32,069 "
PENNSYLVANIA,BUCKS COUNTY,"LANGHORNE MANOR, BOROUGH OF (422336)", 2 ," $700,000 "," $1,149 "," $1,614 "
PENNSYLVANIA,BUCKS COUNTY,"LOWER MAKEFIELD, TOWNSHIP OF (420191)", 281 ," $85,709,000 "," $310,167 "," $376,723 "
PENNSYLVANIA,BUCKS COUNTY,"LOWER SOUTHAMPTON, TOWNSHIP OF (420192)", 59 ," $18,432,000 "," $81,650 "," $100,697 "
PENNSYLVANIA,BUCKS COUNTY,"MIDDLETOWN, TOWNSHIP OF (420193)", 205 ," $53,134,000 "," $132,347 "," $162,910 "
PENNSYLVANIA,BUCKS COUNTY,"MILFORD, TOWNSHIP OF (422337)", 24 ," $7,103,000 "," $24,416 "," $30,558 "
PENNSYLVANIA,BUCKS COUNTY,"MORRISVILLE, BOROUGH OF (420194)", 40 ," $9,604,000 "," $53,406 "," $65,256 "
PENNSYLVANIA,BUCKS COUNTY,"NEW BRITAIN, BOROUGH OF (420986)", 3 ," $736,000 "," $3,029 "," $3,624 "
PENNSYLVANIA,BUCKS COUNTY,"NEW BRITAIN, TOWNSHIP OF (420987)", 33 ," $11,849,000 "," $30,975 "," $38,897 "
PENNSYLVANIA,BUCKS COUNTY,"NEW HOPE, BOROUGH OF (420195)", 197 ," $52,783,000 "," $348,173 "," $424,091 "
PENNSYLVANIA,BUCKS COUNTY,"NEWTOWN, BOROUGH OF (420196)", 5 ," $1,517,000 "," $4,293 "," $5,374 "
PENNSYLVANIA,BUCKS COUNTY,"NEWTOWN, TOWNSHIP OF (421084)", 43 ," $13,408,000 "," $33,457 "," $41,765 "
PENNSYLVANIA,BUCKS COUNTY,"NOCKAMIXON, TOWNSHIP OF (420197)", 16 ," $4,418,000 "," $18,803 "," $24,700 "
PENNSYLVANIA,BUCKS COUNTY,"NORTHAMPTON, TOWNSHIP OF (420988)", 94 ," $28,744,000 "," $68,838 "," $85,933 "
PENNSYLVANIA,BUCKS COUNTY,"PERKASIE, BOROUGH OF (420198)", 30 ," $9,040,000 "," $51,768 "," $63,609 "
PENNSYLVANIA,BUCKS COUNTY,"PLUMSTEAD, TOWNSHIP OF (420199)", 30 ," $10,427,000 "," $46,781 "," $57,503 "
PENNSYLVANIA,BUCKS COUNTY,"QUAKERTOWN, BOROUGH OF (420200)", 125 ," $37,314,000 "," $202,866 "," $252,247 "
PENNSYLVANIA,BUCKS COUNTY,"RICHLAND, TOWNSHIP OF (421095)", 30 ," $8,445,000 "," $38,112 "," $47,492 "
PENNSYLVANIA,BUCKS COUNTY,"RIEGELSVILLE, BOROUGH OF (420201)", 67 ," $14,514,000 "," $131,487 "," $158,291 "
PENNSYLVANIA,BUCKS COUNTY,"SELLERSVILLE, BOROUGH OF (420203)", 20 ," $5,809,000 "," $47,563 "," $59,606 "
PENNSYLVANIA,BUCKS COUNTY,"SOLEBURY, TOWNSHIP OF (420202)", 102 ," $32,151,000 "," $226,424 "," $275,842 "
PENNSYLVANIA,BUCKS COUNTY,"SPRINGFIELD, TOWNSHIP OF (420204)", 11 ," $3,471,000 "," $26,053 "," $31,825 "
PENNSYLVANIA,BUCKS COUNTY,"TINICUM, TOWNSHIP OF (420205)", 86 ," $24,397,000 "," $191,809 "," $234,727 "
PENNSYLVANIA,BUCKS COUNTY,"TULLYTOWN, BOROUGH OF (420206)", 4 ," $1,425,000 "," $11,424 "," $13,996 "
PENNSYLVANIA,BUCKS COUNTY,"UPPER MAKEFIELD, TOWNSHIP OF (420207)", 145 ," $43,029,000 "," $195,558 "," $236,304 "
PENNSYLVANIA,BUCKS COUNTY,"UPPER SOUTHAMPTON, TOWNSHIP OF (420989)", 58 ," $17,048,000 "," $54,148 "," $66,129 "
PENNSYLVANIA,BUCKS COUNTY,"WARMINSTER, TOWNSHIP OF (420990)", 73 ," $21,316,000 "," $49,402 "," $60,399 "
PENNSYLVANIA,BUCKS COUNTY,"WARRINGTON, TOWNSHIP OF (420208)", 70 ," $20,177,000 "," $69,905 "," $86,573 "
PENNSYLVANIA,BUCKS COUNTY,"WARWICK, TOWNSHIP OF (420209)", 53 ," $16,559,000 "," $42,106 "," $51,685 "
PENNSYLVANIA,BUCKS COUNTY,"WEST ROCKHILL, TOWNSHIP OF (421123)", 12 ," $3,798,000 "," $14,601 "," $17,877 "
PENNSYLVANIA,BUCKS COUNTY,"WRIGHTSTOWN, TOWNSHIP OF (421045)", 14 ," $3,949,000 "," $12,899 "," $15,228 "
PENNSYLVANIA,BUCKS COUNTY,"YARDLEY, BOROUGH OF (420210)", 182 ," $46,070,000 "," $312,044 "," $377,595 "
PENNSYLVANIA,BUTLER COUNTY,"ADAMS, TOWNSHIP OF (421415)", 18 ," $4,745,000 "," $14,106 "," $17,617 "
PENNSYLVANIA,BUTLER COUNTY,"BRADY, TOWNSHIP OF (422241)", 1 ," $350,000 ", $705 , $848 
PENNSYLVANIA,BUTLER COUNTY,"BRUIN, BOROUGH OF (420211)", 1 ," $249,000 ", $649 , $782 
PENNSYLVANIA,BUTLER COUNTY,"BUFFALO, TOWNSHIP OF (421416)", 9 ," $2,000,000 "," $7,861 "," $9,424 "
PENNSYLVANIA,BUTLER COUNTY,BUTLER CITY OF (420212), 93 ," $13,879,000 "," $102,057 "," $129,391 "
PENNSYLVANIA,BUTLER COUNTY,"BUTLER, TOWNSHIP OF (421138)", 13 ," $3,190,000 "," $9,163 "," $12,153 "
PENNSYLVANIA,BUTLER COUNTY,"CALLERY, BOROUGH OF (420213)", 1 ," $175,000 ", $591 , $714 
PENNSYLVANIA,BUTLER COUNTY,"CENTER, TOWNSHIP OF (421417)", 5 ," $558,000 "," $6,668 "," $7,951 "
PENNSYLVANIA,BUTLER COUNTY,"CHERRY, TOWNSHIP OF (422342)", 4 ," $907,000 "," $18,722 "," $22,383 "
PENNSYLVANIA,BUTLER COUNTY,"CLAY, TOWNSHIP OF (422343)", 1 ," $350,000 ", $616 , $743 
PENNSYLVANIA,BUTLER COUNTY,"CLINTON, TOWNSHIP OF (422345)", 5 ," $962,000 "," $8,474 "," $10,082 "
PENNSYLVANIA,BUTLER COUNTY,"CONCORD, TOWNSHIP OF (422346)", 1 ," $150,000 "," $1,676 "," $1,994 "
PENNSYLVANIA,BUTLER COUNTY,"CONNOQUENESSING, BOROUGH OF (421413)", 1 ," $272,000 ", $777 , $933 
PENNSYLVANIA,BUTLER COUNTY,"CONNOQUENESSING, TOWNSHIP OF (421418)", 1 ," $210,000 "," $3,625 "," $4,294 "
PENNSYLVANIA,BUTLER COUNTY,"CRANBERRY, TOWNSHIP OF (421217)", 47 ," $11,726,000 "," $48,640 "," $59,526 "
PENNSYLVANIA,BUTLER COUNTY,"DONEGAL, TOWNSHIP OF (422347)", 5 ," $515,000 "," $6,288 "," $8,179 "
PENNSYLVANIA,BUTLER COUNTY,"EVANS CITY, BOROUGH OF (420216)", 35 ," $7,696,000 "," $71,206 "," $88,202 "
PENNSYLVANIA,BUTLER COUNTY,"FAIRVIEW, TOWNSHIP OF (422603)", 2 ," $207,000 "," $1,357 "," $1,635 "
PENNSYLVANIA,BUTLER COUNTY,"FORWARD, TOWNSHIP OF (421419)", 14 ," $3,332,000 "," $23,029 "," $27,630 "
PENNSYLVANIA,BUTLER COUNTY,"FRANKLIN,TOWNSHIP OF (422350)", 2 ," $700,000 "," $1,124 "," $1,360 "
PENNSYLVANIA,BUTLER COUNTY,"HARMONY, BOROUGH OF (420217)", 16 ," $3,468,000 "," $35,371 "," $43,353 "
PENNSYLVANIA,BUTLER COUNTY,"JACKSON, TOWNSHIP OF (421420)", 18 ," $3,535,000 "," $37,673 "," $46,550 "
PENNSYLVANIA,BUTLER COUNTY,"JEFFERSON,TOWNSHIP OF (421421)", 4 ," $752,000 "," $4,291 "," $5,130 "
PENNSYLVANIA,BUTLER COUNTY,"LANCASTER, TOWNSHIP OF (421422)", 4 ," $532,000 "," $5,012 "," $5,981 "
PENNSYLVANIA,BUTLER COUNTY,"MARION, TOWNSHIP OF (420219)", 4 ," $619,000 "," $3,516 "," $4,440 "
PENNSYLVANIA,BUTLER COUNTY,"MARS, BOROUGH OF (420220)", 3 ," $991,000 "," $2,735 "," $3,501 "
PENNSYLVANIA,BUTLER COUNTY,"MIDDLESEX, TOWNSHIP OF (421229)", 8 ," $2,992,000 "," $33,951 "," $41,094 "
PENNSYLVANIA,BUTLER COUNTY,"MUDDY CREEK, TOWNSHIP OF (422353)", 2 ," $420,000 ", $870 ," $1,059 "
PENNSYLVANIA,BUTLER COUNTY,"PENN, TOWNSHIP OF (421241)", 9 ," $1,675,000 "," $12,706 "," $15,366 "
PENNSYLVANIA,BUTLER COUNTY,"SAXONBURG, BOROUGH OF (422357)", 1 ," $350,000 ", $860 ," $1,031 "
PENNSYLVANIA,BUTLER COUNTY,"SLIPPERY ROCK, BOROUGH OF (421414)", 5 ," $2,500,000 "," $2,744 "," $4,445 "
PENNSYLVANIA,BUTLER COUNTY,"SLIPPERY ROCK, TOWNSHIP OF (420222)", 14 ," $2,875,000 "," $20,817 "," $25,245 "
PENNSYLVANIA,BUTLER COUNTY,"SUMMIT, TOWNSHIP OF (422358)", 2 ," $663,000 "," $4,706 "," $5,811 "
PENNSYLVANIA,BUTLER COUNTY,"VENANGO, TOWNSHIP OF (422359)", 1 ," $175,000 ", $695 , $837 
PENNSYLVANIA,BUTLER COUNTY,"WEST LIBERTY, BOROUGH OF (420225)", 1 ," $164,000 "," $1,661 "," $1,977 "
PENNSYLVANIA,BUTLER COUNTY,"WINFIELD, TOWNSHIP OF (421225)", 3 ," $354,000 "," $1,986 "," $2,394 "
PENNSYLVANIA,BUTLER COUNTY,"WORTH, TOWNSHIP OF (421425)", 11 ," $1,403,000 "," $24,459 "," $29,942 "
PENNSYLVANIA,BUTLER COUNTY,"ZELIENOPLE, BOROUGH OF (420226)", 27 ," $12,459,000 "," $128,247 "," $155,379 "
PENNSYLVANIA,CAMBRIA COUNTY,"ADAMS, TOWNSHIP OF (421433)", 40 ," $6,963,000 "," $63,374 "," $78,142 "
PENNSYLVANIA,CAMBRIA COUNTY,"BARR, TOWNSHIP OF (421434)", 2 ," $185,000 "," $1,983 "," $2,598 "
PENNSYLVANIA,CAMBRIA COUNTY,"CAMBRIA, TOWNSHIP OF (421436)", 3 ," $1,050,000 "," $1,482 "," $1,799 "
PENNSYLVANIA,CAMBRIA COUNTY,"CASSANDRA, BOROUGH OF (421426)", 2 ," $67,000 "," $1,410 "," $1,697 "
PENNSYLVANIA,CAMBRIA COUNTY,"CLEARFIELD, TOWNSHIP OF (421437)", 1 ," $121,000 "," $1,581 "," $1,882 "
PENNSYLVANIA,CAMBRIA COUNTY,"CONEMAUGH, TOWNSHIP OF (421438)", 1 ," $15,000 ", $651 ," $1,010 "
PENNSYLVANIA,CAMBRIA COUNTY,"CRESSON, BOROUGH OF (422644)", 1 ," $70,000 ", $410 , $500 
PENNSYLVANIA,CAMBRIA COUNTY,"CRESSON, TOWNSHIP OF (422605)", 1 ," $50,000 ", $302 , $373 
PENNSYLVANIA,CAMBRIA COUNTY,"CROYLE, TOWNSHIP OF (421439)", 16 ," $2,537,000 "," $21,587 "," $27,538 "
PENNSYLVANIA,CAMBRIA COUNTY,"DEAN, TOWNSHIP OF (421440)", 3 ," $188,000 "," $1,783 "," $2,153 "
PENNSYLVANIA,CAMBRIA COUNTY,"EAST CONEMAUGH,BOROUGH OF (422259)", 4 ," $652,000 "," $3,106 "," $3,956 "
PENNSYLVANIA,CAMBRIA COUNTY,"EAST TAYLOR, TOWNSHIP OF (421441)", 5 ," $229,000 "," $3,795 "," $4,561 "
PENNSYLVANIA,CAMBRIA COUNTY,"EBENSBURG, BORO OF (422260)", 1 ," $105,000 ", $440 , $536 
PENNSYLVANIA,CAMBRIA COUNTY,"ELDER, TOWNSHIP OF (422592)", 1 ," $40,000 ", $802 , $963 
PENNSYLVANIA,CAMBRIA COUNTY,"FERNDALE, BOROUGH OF (421429)", 14 ," $1,011,000 "," $17,429 "," $21,924 "
PENNSYLVANIA,CAMBRIA COUNTY,"GEISTOWN, BOROUGH OF (420229)", 6 ," $880,000 "," $3,329 "," $4,703 "
PENNSYLVANIA,CAMBRIA COUNTY,"HASTINGS, BOROUGH OF (420230)", 4 ," $1,025,000 "," $4,360 "," $5,662 "
PENNSYLVANIA,CAMBRIA COUNTY,"JACKSON, TOWNSHIP OF (421442)", 1 ," $270,000 ", $308 , $605 
PENNSYLVANIA,CAMBRIA COUNTY,"JOHNSTOWN, CITY OF (420231)", 275 ," $77,250,000 "," $463,487 "," $595,560 "
PENNSYLVANIA,CAMBRIA COUNTY,"LILLY, BOROUGH OF (421430)", 3 ," $176,000 "," $1,832 "," $2,211 "
PENNSYLVANIA,CAMBRIA COUNTY,"LORAIN, BOROUGH OF (420232)", 7 ," $304,000 "," $2,577 "," $3,605 "
PENNSYLVANIA,CAMBRIA COUNTY,"LOWER YODER, TOWNSHIP OF (420233)", 2 ," $404,000 "," $1,401 "," $1,686 "
PENNSYLVANIA,CAMBRIA COUNTY,"NANTY GLO, BOROUGH OF (422610)", 13 ," $1,667,000 "," $12,785 "," $17,327 "
PENNSYLVANIA,CAMBRIA COUNTY,"NORTHERN CAMBRIA, BOROUGH OF (420304)", 21 ," $2,082,000 "," $18,832 "," $23,470 "
PENNSYLVANIA,CAMBRIA COUNTY,"PATTON, BOROUGH OF (420235)", 16 ," $1,165,000 "," $18,759 "," $23,075 "
PENNSYLVANIA,CAMBRIA COUNTY,"PORTAGE, BOROUGH OF (420236)", 14 ," $1,446,000 "," $12,704 "," $16,122 "
PENNSYLVANIA,CAMBRIA COUNTY,"PORTAGE, TOWNSHIP OF (421444)", 7 ," $1,209,000 "," $6,558 "," $8,304 "
PENNSYLVANIA,CAMBRIA COUNTY,"READE, TOWNSHIP OF (421445)", 5 ," $648,000 "," $4,136 "," $5,413 "
PENNSYLVANIA,CAMBRIA COUNTY,"RICHLAND, TOWNSHIP OF (422264)", 7 ," $2,365,000 "," $3,711 "," $4,946 "
PENNSYLVANIA,CAMBRIA COUNTY,"SCALP LEVEL, BOROUGH OF (420237)", 3 ," $145,000 "," $1,968 "," $2,597 "
PENNSYLVANIA,CAMBRIA COUNTY,"SOUTHMONT, BOROUGH OF (420239)", 7 ," $1,468,000 "," $2,901 "," $3,764 "
PENNSYLVANIA,CAMBRIA COUNTY,"STONYCREEK, TOWNSHIP OF (420241)", 52 ," $5,568,000 "," $66,051 "," $81,051 "
PENNSYLVANIA,CAMBRIA COUNTY,"SUMMERHILL, BOROUGH OF (420242)", 2 ," $1,197,000 "," $2,942 "," $3,730 "
PENNSYLVANIA,CAMBRIA COUNTY,"SUMMERHILL, TOWNSHIP OF (421446)", 3 ," $537,000 "," $1,930 "," $2,552 "
PENNSYLVANIA,CAMBRIA COUNTY,"SUSQUEHANNA, TOWNSHIP OF (421447)", 1 ," $61,000 "," $1,309 "," $1,561 "
PENNSYLVANIA,CAMBRIA COUNTY,"UPPER YODER, TOWNSHIP OF (422257)", 8 ," $2,772,000 "," $18,594 "," $22,749 "
PENNSYLVANIA,CAMBRIA COUNTY,"VINTONDALE, BOROUGH OF (420243)", 1 ," $25,000 ", $512 , $621 
PENNSYLVANIA,CAMBRIA COUNTY,"WEST CARROLL, TOWNSHIP OF (421449)", 1 ," $34,000 ", $541 , $655 
PENNSYLVANIA,CAMBRIA COUNTY,"WESTMONT, BOROUGH OF (421139)", 5 ," $1,428,000 "," $2,045 "," $2,496 "
PENNSYLVANIA,CAMBRIA COUNTY,"WEST TAYLOR, TOWNSHIP OF (421450)", 2 ," $1,350,000 "," $8,780 "," $10,844 "
PENNSYLVANIA,CAMBRIA COUNTY,"WHITE, TOWNSHIP OF (422258)", 2 ," $215,000 "," $2,039 "," $2,439 "
PENNSYLVANIA,CAMBRIA COUNTY,"WILMORE, BOROUGH OF (420244)", 13 ," $1,626,000 "," $13,010 "," $15,793 "
PENNSYLVANIA,CAMERON COUNTY,"DRIFTWOOD, BOROUGH OF (420245)", 1 ," $61,000 "," $1,263 "," $1,507 "
PENNSYLVANIA,CAMERON COUNTY,"EMPORIUM, BOROUGH OF (420246)", 5 ," $228,000 "," $2,805 "," $3,617 "
PENNSYLVANIA,CAMERON COUNTY,"GIBSON, TOWNSHIP OF (421130)", 2 ," $158,000 "," $2,903 "," $3,684 "
PENNSYLVANIA,CAMERON COUNTY,"GROVE, TOWNSHIP OF (421128)", 2 ," $316,000 "," $1,873 "," $2,468 "
PENNSYLVANIA,CAMERON COUNTY,"LUMBER, TOWNSHIP OF (421129)", 6 ," $389,000 "," $5,825 "," $7,197 "
PENNSYLVANIA,CAMERON COUNTY,"PORTAGE, TOWNSHIP OF (421132)", 5 ," $496,000 "," $5,460 "," $6,751 "
PENNSYLVANIA,CAMERON COUNTY,"SHIPPEN, TOWNSHIP OF (421103)", 68 ," $6,453,000 "," $84,206 "," $105,208 "
PENNSYLVANIA,CARBON COUNTY,"BOWMANSTOWN, BOROUGH OF (420248)", 4 ," $789,000 "," $2,825 "," $3,849 "
PENNSYLVANIA,CARBON COUNTY,"EAST PENN, TOWNSHIP OF (421013)", 5 ," $656,000 "," $4,684 "," $5,611 "
PENNSYLVANIA,CARBON COUNTY,"FRANKLIN, TOWNSHIP OF (421014)", 10 ," $1,939,000 "," $7,604 "," $9,588 "
PENNSYLVANIA,CARBON COUNTY,"JIM THORPE, BOROUGH OF (420249)", 9 ," $1,257,000 "," $5,962 "," $7,409 "
PENNSYLVANIA,CARBON COUNTY,"KIDDER, TOWNSHIP OF (421453)", 8 ," $1,964,000 "," $6,174 "," $8,317 "
PENNSYLVANIA,CARBON COUNTY,"LANSFORD, BOROUGH OF (420250)", 1 ," $52,000 ", $741 , $891 
PENNSYLVANIA,CARBON COUNTY,"LEHIGHTON, BOROUGH OF (420251)", 4 ," $1,298,000 "," $6,812 "," $8,780 "
PENNSYLVANIA,CARBON COUNTY,"LOWER TOWAMENSING, TOWNSHIP OF (421455)", 33 ," $5,939,000 "," $40,655 "," $52,345 "
PENNSYLVANIA,CARBON COUNTY,"MAHONING, TOWNSHIP OF (421041)", 13 ," $3,073,000 "," $20,521 "," $24,880 "
PENNSYLVANIA,CARBON COUNTY,"NESQUEHONING, BOROUGH OF (420252)", 12 ," $3,214,000 "," $23,414 "," $28,954 "
PENNSYLVANIA,CARBON COUNTY,"PACKER, TOWNSHIP OF (421456)", 2 ," $405,000 "," $2,886 "," $3,439 "
PENNSYLVANIA,CARBON COUNTY,"PALMERTON, BOROUGH OF (420253)", 47 ," $9,193,000 "," $68,119 "," $84,082 "
PENNSYLVANIA,CARBON COUNTY,"PARRYVILLE, BOROUGH OF (420254)", 1 ," $20,000 ", $315 , $388 
PENNSYLVANIA,CARBON COUNTY,"PENN FOREST, TOWNSHIP OF (421457)", 18 ," $5,306,000 "," $8,856 "," $12,322 "
PENNSYLVANIA,CARBON COUNTY,"THORNHURST, TOWNSHIP OF (421224)", 1 ," $350,000 ", $492 , $822 
PENNSYLVANIA,CARBON COUNTY,"TOWAMENSING, TOWNSHIP OF (421458)", 2 ," $251,000 "," $1,770 "," $2,122 "
PENNSYLVANIA,CARBON COUNTY,"WEATHERLY, BOROUGH OF (420255)", 1 ," $270,000 "," $2,558 "," $3,260 "
PENNSYLVANIA,CARBON COUNTY,"WEISSPORT, BOROUGH OF (420256)", 21 ," $2,551,000 "," $48,902 "," $59,403 "
PENNSYLVANIA,CENTRE COUNTY,"BELLEFONTE, BOROUGH OF (420257)", 7 ," $2,650,000 "," $23,936 "," $29,486 "
PENNSYLVANIA,CENTRE COUNTY,"BENNER, TOWNSHIP OF (421460)", 5 ," $964,000 "," $5,924 "," $7,073 "
PENNSYLVANIA,CENTRE COUNTY,"BOGGS, TOWNSHIP OF (421193)", 31 ," $6,329,000 "," $38,195 "," $47,835 "
PENNSYLVANIA,CENTRE COUNTY,"COLLEGE, TOWNSHIP OF (420259)", 20 ," $5,674,000 "," $24,214 "," $29,578 "
PENNSYLVANIA,CENTRE COUNTY,"CURTIN, TOWNSHIP OF (421462)", 4 ," $595,000 "," $4,674 "," $5,581 "
PENNSYLVANIA,CENTRE COUNTY,"FERGUSON, TOWNSHIP OF (420260)", 15 ," $4,287,000 "," $9,592 "," $11,791 "
PENNSYLVANIA,CENTRE COUNTY,"GREGG, TOWNSHIP OF (421194)", 10 ," $1,502,000 "," $15,833 "," $19,072 "
PENNSYLVANIA,CENTRE COUNTY,HAINES TOWNSHIP OF (420261), 8 ," $1,462,000 "," $8,295 "," $9,921 "
PENNSYLVANIA,CENTRE COUNTY,"HALFMOON, TOWNSHIP OF (421463)", 3 ," $653,000 "," $2,087 "," $2,512 "
PENNSYLVANIA,CENTRE COUNTY,"HARRIS, TOWNSHIP OF (420262)", 5 ," $1,370,000 "," $5,587 "," $6,676 "
PENNSYLVANIA,CENTRE COUNTY,"HOWARD, TOWNSHIP OF (421464)", 1 ," $250,000 ", $715 , $860 
PENNSYLVANIA,CENTRE COUNTY,"HUSTON, TOWNSHIP OF (421195)", 5 ," $742,000 "," $4,268 "," $5,344 "
PENNSYLVANIA,CENTRE COUNTY,"LIBERTY, TOWNSHIP OF (421196)", 12 ," $1,194,000 "," $11,466 "," $14,630 "
PENNSYLVANIA,CENTRE COUNTY,"MILESBURG, BOROUGH OF (420264)", 27 ," $4,679,000 "," $43,360 "," $53,637 "
PENNSYLVANIA,CENTRE COUNTY,"MILES, TOWNSHIP OF (421197)", 3 ," $382,000 "," $2,870 "," $3,436 "
PENNSYLVANIA,CENTRE COUNTY,"MILLHEIM, BOROUGH OF (420265)", 17 ," $2,401,000 "," $31,092 "," $38,322 "
PENNSYLVANIA,CENTRE COUNTY,"PATTON, TOWNSHIP OF (420266)", 12 ," $3,978,000 "," $4,953 "," $6,269 "
PENNSYLVANIA,CENTRE COUNTY,"PENN, TOWNSHIP OF (421466)", 9 ," $1,082,000 "," $9,754 "," $11,882 "
PENNSYLVANIA,CENTRE COUNTY,"PHILIPSBURG, BOROUGH OF (420267)", 11 ," $1,878,000 "," $14,084 "," $17,701 "
PENNSYLVANIA,CENTRE COUNTY,"PORT MATILDA, BOROUGH OF (420268)", 10 ," $1,423,000 "," $16,190 "," $20,621 "
PENNSYLVANIA,CENTRE COUNTY,"POTTER, TOWNSHIP OF (421467)", 3 ," $780,000 "," $2,225 "," $2,675 "
PENNSYLVANIA,CENTRE COUNTY,"RUSH, TOWNSHIP OF (421468)", 25 ," $3,910,000 "," $24,391 "," $30,095 "
PENNSYLVANIA,CENTRE COUNTY,"SNOW SHOE, TOWNSHIP OF (421198)", 4 ," $738,000 "," $2,158 "," $2,837 "
PENNSYLVANIA,CENTRE COUNTY,"SPRING, TOWNSHIP OF (420269)", 29 ," $7,566,000 "," $42,545 "," $53,607 "
PENNSYLVANIA,CENTRE COUNTY,"STATE COLLEGE, BOROUGH OF (420270)", 13 ," $3,999,000 "," $6,448 "," $8,950 "
PENNSYLVANIA,CENTRE COUNTY,"TAYLOR, TOWNSHIP OF (421469)", 5 ," $1,143,000 "," $4,815 "," $5,990 "
PENNSYLVANIA,CENTRE COUNTY,"UNION, TOWNSHIP OF (421470)", 2 ," $700,000 "," $1,596 "," $1,916 "
PENNSYLVANIA,CENTRE COUNTY,"UNIONVILLE, BOROUGH OF (420272)", 2 ," $88,000 "," $1,331 "," $1,828 "
PENNSYLVANIA,CENTRE COUNTY,"WALKER, TOWNSHIP OF (421471)", 6 ," $867,000 "," $4,670 "," $5,611 "
PENNSYLVANIA,CENTRE COUNTY,"WORTH, TOWNSHIP OF (421472)", 3 ," $1,513,000 "," $4,823 "," $6,191 "
PENNSYLVANIA,CHESTER COUNTY,"ATGLEN, BOROUGH OF (420273)", 1 ," $105,000 ", $512 , $621 
PENNSYLVANIA,CHESTER COUNTY,"AVONDALE, BOROUGH OF (421473)", 11 ," $2,922,000 "," $44,700 "," $54,277 "
PENNSYLVANIA,CHESTER COUNTY,"BIRMINGHAM, TOWNSHIP OF (421474)", 11 ," $3,369,000 "," $20,303 "," $24,364 "
PENNSYLVANIA,CHESTER COUNTY,"CALN, TOWNSHIP OF (422247)", 49 ," $14,893,000 "," $68,275 "," $83,177 "
PENNSYLVANIA,CHESTER COUNTY,"CHARLESTOWN, TOWNSHIP OF (421475)", 10 ," $2,453,000 "," $5,878 "," $7,102 "
PENNSYLVANIA,CHESTER COUNTY,"COATESVILLE, CITY OF (420274)", 17 ," $3,697,000 "," $22,311 "," $28,632 "
PENNSYLVANIA,CHESTER COUNTY,"DOWNINGTOWN, BOROUGH OF (420275)", 166 ," $40,650,000 "," $323,796 "," $397,881 "
PENNSYLVANIA,CHESTER COUNTY,EAST BRADFORD TOWNSHIP OF (420276), 14 ," $3,095,000 "," $15,308 "," $18,070 "
PENNSYLVANIA,CHESTER COUNTY,"EAST BRANDYWINE, TOWNSHIP OF (421476)", 15 ," $3,179,000 "," $15,686 "," $19,209 "
PENNSYLVANIA,CHESTER COUNTY,"EAST CALN, TOWNSHIP OF (421477)", 9 ," $4,284,000 "," $74,781 "," $89,966 "
PENNSYLVANIA,CHESTER COUNTY,"EAST COVENTRY, TOWNSHIP OF (421478)", 20 ," $5,245,000 "," $18,167 "," $22,893 "
